symbol,timestamp,price,size
AAPL,2019-05-01 09:30:00.578802,210.52,780
AAPL,2019-05-01 09:30:00.580485,210.81,390
BAC,2019-05-01 09:30:00.629205,30.25,510
CVX,2019-05-01 09:30:00.944122,117.8,5860
AAPL,2019-05-01 09:30:01.002405,211.13,320
AAPL,2019-05-01 09:30:01.066917,211.1186,310
AAPL,2019-05-01 09:30:01.118968,211.0,730
BAC,2019-05-01 09:30:01.186416,30.245,380
CVX,2019-05-01 09:30:01.639577,118.255,2880
BAC,2019-05-01 09:30:01.867638,30.245,260
AAPL,2019-05-01 09:30:02.065535,211.18,260
BAC,2019-05-01 09:30:02.118224,30.26,300
CVX,2019-05-01 09:30:02.260710,118.31,1450
BAC,2019-05-01 09:30:02.379882,30.265,300
AAPL,2019-05-01 09:30:02.422211,211.33,270
CVX,2019-05-01 09:30:02.439735,118.29,760
CVX,2019-05-01 09:30:02.869668,118.27,980
BAC,2019-05-01 09:30:02.987527,30.235,220
AAPL,2019-05-01 09:30:03.057945,211.4425,300
CVX,2019-05-01 09:30:03.363338,118.51,990
BAC,2019-05-01 09:30:03.541989,30.2401,230
BAC,2019-05-01 09:30:03.571166,30.2601,120
AAPL,2019-05-01 09:30:03.867696,211.58,310
CVX,2019-05-01 09:30:04.080523,118.475,990
BAC,2019-05-01 09:30:04.135929,30.265,180
CVX,2019-05-01 09:30:04.185916,118.4262,370
AAPL,2019-05-01 09:30:04.470100,211.85,210
CVX,2019-05-01 09:30:04.701658,118.47,670
CVX,2019-05-01 09:30:04.747122,118.44,860
AAPL,2019-05-01 09:30:04.905546,211.93,180
BAC,2019-05-01 09:30:04.962647,30.255,310
AAPL,2019-05-01 09:30:05.123186,212.06,220
CVX,2019-05-01 09:30:05.316192,118.56,350
BAC,2019-05-01 09:30:05.397647,30.275,120
BAC,2019-05-01 09:30:05.472636,30.31,160
AAPL,2019-05-01 09:30:05.580852,211.877,300
AAPL,2019-05-01 09:30:05.609494,212.2,220
AAPL,2019-05-01 09:30:05.713703,212.44,160
BAC,2019-05-01 09:30:05.837579,30.3139,140
AAPL,2019-05-01 09:30:05.989375,212.77,190
CVX,2019-05-01 09:30:06.074326,118.53,370
BAC,2019-05-01 09:30:06.288772,30.335,170
CVX,2019-05-01 09:30:06.809783,118.6,300
AAPL,2019-05-01 09:30:06.821482,212.59,150
CVX,2019-05-01 09:30:07.059935,118.67,270
BAC,2019-05-01 09:30:07.138748,30.34,260
AAPL,2019-05-01 09:30:07.469546,212.67,200
CVX,2019-05-01 09:30:07.584673,118.71,1080
AAPL,2019-05-01 09:30:07.687097,212.43,520
BAC,2019-05-01 09:30:07.706372,30.405,110
AAPL,2019-05-01 09:30:08.027324,212.64,140
CVX,2019-05-01 09:30:08.313758,118.715,180
CVX,2019-05-01 09:30:08.659592,118.7685,170
BAC,2019-05-01 09:30:08.703452,30.405,100
BAC,2019-05-01 09:30:08.739327,30.4,320
AAPL,2019-05-01 09:30:08.948765,212.8897,130
CVX,2019-05-01 09:30:08.963673,118.755,130
CVX,2019-05-01 09:30:09.249808,118.77,190
BAC,2019-05-01 09:30:09.265989,30.41,80
AAPL,2019-05-01 09:30:09.641764,212.9655,220
CVX,2019-05-01 09:30:09.829782,118.72,210
BAC,2019-05-01 09:30:10.105841,30.4,160
AAPL,2019-05-01 09:30:10.335532,213.02,160
CVX,2019-05-01 09:30:10.464087,118.82,90
BAC,2019-05-01 09:30:10.892135,30.415,150
AAPL,2019-05-01 09:30:11.041190,212.97,220
AAPL,2019-05-01 09:30:11.117617,213.0,170
CVX,2019-05-01 09:30:11.451921,118.8332,130
AAPL,2019-05-01 09:30:11.469356,212.75,200
AAPL,2019-05-01 09:30:11.507593,212.77,200
CVX,2019-05-01 09:30:11.523026,118.95,140
BAC,2019-05-01 09:30:11.592004,30.425,100
AAPL,2019-05-01 09:30:11.604955,212.79,350
CVX,2019-05-01 09:30:11.808104,118.84,130
AAPL,2019-05-01 09:30:11.920792,213.13,230
CVX,2019-05-01 09:30:12.204193,118.915,90
AAPL,2019-05-01 09:30:12.348551,213.31,230
CVX,2019-05-01 09:30:12.471736,118.91,180
BAC,2019-05-01 09:30:12.539687,30.47,70
BAC,2019-05-01 09:30:12.626601,30.46,110
BAC,2019-05-01 09:30:12.810375,30.49,190
AAPL,2019-05-01 09:30:12.853759,213.7442,90
CVX,2019-05-01 09:30:13.464286,118.95,260
AAPL,2019-05-01 09:30:13.743680,213.88,70
BAC,2019-05-01 09:30:13.744877,30.475,330
BAC,2019-05-01 09:30:14.001869,30.525,160
AAPL,2019-05-01 09:30:14.059516,214.08,100
CVX,2019-05-01 09:30:14.167377,118.97,140
BAC,2019-05-01 09:30:14.352338,30.5499,150
BAC,2019-05-01 09:30:14.468446,30.535,100
CVX,2019-05-01 09:30:14.539792,118.955,90
CVX,2019-05-01 09:30:14.545601,119.04,220
AAPL,2019-05-01 09:30:14.673522,214.02,150
CVX,2019-05-01 09:30:14.837286,118.99,70
CVX,2019-05-01 09:30:15.033130,119.02,60
AAPL,2019-05-01 09:30:15.325234,213.82,130
BAC,2019-05-01 09:30:15.391090,30.55,210
CVX,2019-05-01 09:30:15.733066,118.99,80
BAC,2019-05-01 09:30:15.900036,30.585,140
CVX,2019-05-01 09:30:16.139287,118.98,90
AAPL,2019-05-01 09:30:16.156450,214.1001,90
BAC,2019-05-01 09:30:16.448959,30.585,120
BAC,2019-05-01 09:30:16.716183,30.6089,210
AAPL,2019-05-01 09:30:16.777848,214.33,90
AAPL,2019-05-01 09:30:16.826022,214.49,50
CVX,2019-05-01 09:30:16.834582,118.9,130
BAC,2019-05-01 09:30:16.984802,30.595,160
BAC,2019-05-01 09:30:17.145344,30.58,60
CVX,2019-05-01 09:30:17.403876,118.9,320
AAPL,2019-05-01 09:30:17.428118,214.5274,90
CVX,2019-05-01 09:30:17.437323,118.98,330
BAC,2019-05-01 09:30:18.022546,30.5834,290
BAC,2019-05-01 09:30:18.238394,30.6033,160
AAPL,2019-05-01 09:30:18.327148,214.66,90
CVX,2019-05-01 09:30:18.390277,119.01,230
CVX,2019-05-01 09:30:18.894369,119.03,150
BAC,2019-05-01 09:30:19.025301,30.635,110
AAPL,2019-05-01 09:30:19.326381,214.6488,80
BAC,2019-05-01 09:30:19.428064,30.635,70
BAC,2019-05-01 09:30:19.623917,30.64,130
CVX,2019-05-01 09:30:19.795592,119.07,100
CVX,2019-05-01 09:30:19.953534,119.125,50
AAPL,2019-05-01 09:30:20.225858,214.57,80
BAC,2019-05-01 09:30:20.614404,30.65,250
CVX,2019-05-01 09:30:20.834788,119.1,110
AAPL,2019-05-01 09:30:21.011216,214.53,120
BAC,2019-05-01 09:30:21.046629,30.65,210
AAPL,2019-05-01 09:30:21.158585,214.6,110
BAC,2019-05-01 09:30:21.385248,30.655,110
AAPL,2019-05-01 09:30:21.541205,214.4,80
CVX,2019-05-01 09:30:21.733827,119.05,80
BAC,2019-05-01 09:30:21.743728,30.6401,70
AAPL,2019-05-01 09:30:21.933943,214.475,110
CVX,2019-05-01 09:30:22.171095,119.16,50
AAPL,2019-05-01 09:30:22.244193,214.4,70
AAPL,2019-05-01 09:30:22.436994,214.25,70
BAC,2019-05-01 09:30:22.553616,30.64,110
CVX,2019-05-01 09:30:22.652640,119.105,200
BAC,2019-05-01 09:30:22.727451,30.6425,340
CVX,2019-05-01 09:30:22.950606,119.11,90
CVX,2019-05-01 09:30:23.205337,119.0969,170
BAC,2019-05-01 09:30:23.363348,30.64,220
AAPL,2019-05-01 09:30:23.380585,214.13,90
AAPL,2019-05-01 09:30:23.402992,214.03,70
BAC,2019-05-01 09:30:23.580155,30.645,150
AAPL,2019-05-01 09:30:23.798556,213.89,70
CVX,2019-05-01 09:30:23.864349,119.12,160
BAC,2019-05-01 09:30:24.139223,30.63,100
AAPL,2019-05-01 09:30:24.270439,214.09,60
BAC,2019-05-01 09:30:24.557425,30.63,110
CVX,2019-05-01 09:30:24.745031,119.07,60
AAPL,2019-05-01 09:30:25.041193,213.86,60
BAC,2019-05-01 09:30:25.293407,30.615,130
CVX,2019-05-01 09:30:25.686681,119.11,180
AAPL,2019-05-01 09:30:25.889016,213.82,60
BAC,2019-05-01 09:30:26.120009,30.65,60
CVX,2019-05-01 09:30:26.244096,119.08,60
CVX,2019-05-01 09:30:26.706106,119.1,100
BAC,2019-05-01 09:30:26.723692,30.63,70
AAPL,2019-05-01 09:30:26.821381,213.9,90
AAPL,2019-05-01 09:30:27.239875,213.95,120
CVX,2019-05-01 09:30:27.273142,119.18,240
CVX,2019-05-01 09:30:27.505337,119.085,170
CVX,2019-05-01 09:30:27.543898,119.125,150
AAPL,2019-05-01 09:30:27.601623,213.81,120
BAC,2019-05-01 09:30:27.696578,30.625,170
AAPL,2019-05-01 09:30:27.791564,214.2,70
BAC,2019-05-01 09:30:27.906633,30.625,270
CVX,2019-05-01 09:30:28.024942,119.11,540
AAPL,2019-05-01 09:30:28.169951,214.3806,80
CVX,2019-05-01 09:30:28.280333,119.08,210
BAC,2019-05-01 09:30:28.739238,30.605,240
AAPL,2019-05-01 09:30:28.791818,214.27,60
CVX,2019-05-01 09:30:29.113140,119.125,920
AAPL,2019-05-01 09:30:29.341644,214.14,80
BAC,2019-05-01 09:30:29.427006,30.59,370
BAC,2019-05-01 09:30:29.576979,30.5941,170
CVX,2019-05-01 09:30:29.666647,119.13,260
AAPL,2019-05-01 09:30:30.261808,214.13,60
CVX,2019-05-01 09:30:30.456696,119.2,270
AAPL,2019-05-01 09:30:30.472916,214.05,40
BAC,2019-05-01 09:30:30.534832,30.585,170
AAPL,2019-05-01 09:30:30.648973,214.13,70
CVX,2019-05-01 09:30:31.041074,119.09,170
CVX,2019-05-01 09:30:31.380952,119.16,290
AAPL,2019-05-01 09:30:31.453116,214.07,70
BAC,2019-05-01 09:30:31.475156,30.59,200
CVX,2019-05-01 09:30:31.569640,119.045,370
BAC,2019-05-01 09:30:31.738968,30.575,170
BAC,2019-05-01 09:30:31.740777,30.57,110
CVX,2019-05-01 09:30:32.073279,119.1425,440
AAPL,2019-05-01 09:30:32.247413,214.23,60
BAC,2019-05-01 09:30:32.395904,30.565,110
AAPL,2019-05-01 09:30:32.425450,214.2,80
CVX,2019-05-01 09:30:32.828699,119.02,220
AAPL,2019-05-01 09:30:32.845310,213.89,70
BAC,2019-05-01 09:30:33.082568,30.5779,120
CVX,2019-05-01 09:30:33.134274,118.98,100
AAPL,2019-05-01 09:30:33.567694,213.77,90
BAC,2019-05-01 09:30:33.630086,30.585,160
CVX,2019-05-01 09:30:33.694655,119.0,90
BAC,2019-05-01 09:30:33.828369,30.64,460
BAC,2019-05-01 09:30:34.066248,30.57,280
